campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,video_p25,video_p50,video_p75,video_p100,age,shopping
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-10,162467,87225,1.86262,184,0.113254,1.061935,1.202681,195.395993,123.0,0,1.588585,19.0,0,10.284,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1031.0,318.0,161.0,105.0,18-24,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-10,167474,92682,1.806974,200,0.119422,1.00257,1.197285,200.514055,138.0,0,1.453,18.0,0,11.13967,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1152.0,338.0,196.0,128.0,25-34,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-10,70919,39543,1.793465,83,0.117035,1.02672,1.20162,85.217723,53.0,0,1.607882,8.0,0,10.652215,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,588.0,177.0,104.0,55.0,35-44,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-10,33816,19942,1.695718,40,0.118287,0.993624,1.17533,39.744946,26.0,0,1.528652,4.0,0,9.936237,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,321.0,108.0,64.0,39.0,45-54,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-10,18434,10475,1.759809,25,0.135619,0.888064,1.204383,22.201591,14.0,0,1.585828,2.0,0,11.100796,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,179.0,59.0,36.0,23.0,55-64,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-10,9452,5253,1.799353,12,0.126957,0.947974,1.203522,11.375691,6.0,0,1.895949,4.0,0,2.843923,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,82.0,29.0,16.0,13.0,65+,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-10,17,16,1.0625,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,Unknown,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-10,54380,43852,1.24008,91,0.167341,0.710397,1.188785,64.646109,47.0,0,1.375449,4.0,0,16.161527,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,378.0,84.0,39.0,22.0,18-24,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-10,73118,58594,1.247875,176,0.240707,0.499856,1.203188,87.974705,48.0,0,1.832806,6.0,0,14.662451,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,625.0,185.0,91.0,54.0,25-34,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-10,51850,41686,1.243823,201,0.387657,0.30426,1.179485,61.156319,29.0,0,2.108839,1.0,0,61.156319,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,587.0,174.0,93.0,51.0,35-44,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-10,42069,32701,1.286474,173,0.411229,0.282295,1.16088,48.837061,27.0,0,1.80878,2.0,0,24.41853,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,542.0,176.0,85.0,40.0,45-54,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-10,37223,28094,1.324945,214,0.574913,0.202418,1.163727,43.317393,27.0,0,1.604348,5.0,0,8.663479,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,511.0,164.0,84.0,41.0,55-64,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-10,22968,17520,1.310959,135,0.587774,0.195322,1.14805,26.368413,16.0,0,1.648026,2.0,0,13.184207,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,299.0,101.0,47.0,23.0,65+,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-10,4,4,1.0,0,0.0,0.0,4.999699,0.019999,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,Unknown,CS
