campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,age,shopping,video_p25,video_p50,video_p75,video_p100
[TFG] Night Run 02,120234219373560087,LINK_CLICKS,2025-10-31,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,55-64,CS,,,,
[TFG] Night Run 02,120234219373560087,LINK_CLICKS,2025-10-31,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,65+,CS,,,,
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-11-01,91758,60978,1.504772,145,0.158024,0.993724,1.570326,144.09,112.0,0,1.286518,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,256.0,0,0.562852,5.0,0,0,256.0,0,0.562852,0,0,0,0.0,0,0,0.0,0,0,,,,112.0,18-24,CS,101.0,44.0,18.0,10.0
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-11-01,97296,67443,1.44264,152,0.156224,0.999145,1.560907,151.87,117.0,0,1.298034,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,254.0,0,0.597913,6.0,0,0,254.0,0,0.597913,0,0,0,0.0,0,0,0.0,0,0,,,,117.0,25-34,CS,92.0,33.0,14.0,7.0
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-11-01,48086,34014,1.413712,82,0.170528,0.87561,1.493158,71.8,57.0,0,1.259649,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,124.0,0,0.579032,3.0,0,0,124.0,0,0.579032,0,0,0,0.0,0,0,0.0,0,0,,,,57.0,35-44,CS,40.0,13.0,8.0,4.0
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-11-01,33012,23301,1.416763,71,0.215073,0.687324,1.47825,48.8,51.0,0,0.956863,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,103.0,0,0.473786,3.0,0,0,103.0,0,0.473786,0,0,0,0.0,0,0,0.0,0,0,,,,51.0,45-54,CS,25.0,8.0,5.0,3.0
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-11-01,16457,11779,1.397147,20,0.121529,1.1795,1.433433,23.59,11.0,0,2.144545,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,50.0,0,0.4718,2.0,0,0,50.0,0,0.4718,0,0,0,0.0,0,0,0.0,0,0,,,,11.0,55-64,CS,23.0,7.0,5.0,2.0
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-11-01,16757,13540,1.237592,15,0.089515,1.657333,1.483559,24.86,8.0,0,3.1075,2.0,0,12.43,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,550.0,0,0.0452,1.0,0,0,550.0,0,0.0452,0,0,0,0.0,0,0,0.0,0,0,,,,8.0,18-24,CS,114.0,35.0,18.0,14.0
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-11-01,13888,10954,1.267847,20,0.144009,1.012,1.457373,20.24,10.0,0,2.024,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,576.0,0,0.035139,3.0,0,0,576.0,0,0.035139,0,0,0,0.0,0,0,0.0,0,0,,,,10.0,25-34,CS,114.0,34.0,21.0,16.0
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-11-01,7390,6179,1.195986,12,0.162382,0.825,1.339648,9.9,5.0,0,1.98,1.0,0,9.9,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,449.0,0,0.022049,2.0,0,0,449.0,0,0.022049,0,0,0,0.0,0,0,0.0,0,0,,,,5.0,35-44,CS,58.0,24.0,14.0,9.0
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-11-01,5543,4415,1.255493,7,0.126285,1.08,1.363882,7.56,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,444.0,0,0.017027,2.0,0,0,444.0,0,0.017027,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,45-54,CS,60.0,22.0,6.0,4.0
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-11-01,5884,4711,1.248992,17,0.288919,0.482941,1.395309,8.21,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,615.0,0,0.01335,1.0,0,0,615.0,0,0.01335,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,55-64,CS,50.0,20.0,12.0,6.0
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-11-01,4250,3310,1.283988,14,0.329412,0.417143,1.374118,5.84,3.0,0,1.946667,1.0,0,5.84,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,546.0,0,0.010696,4.0,0,0,546.0,0,0.010696,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,65+,CS,45.0,13.0,9.0,8.0
[TFG] Night Run 02,120234219373560087,LINK_CLICKS,2025-11-01,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,45-54,CS,,,,
[ALC] Corrida Final,120235177303150087,OUTCOME_AWARENESS,2025-11-01,33826,32186,1.050954,52,0.153728,0.954808,1.467806,49.65,44.0,0,1.128409,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,44.0,0,1.128409,0.0,0,0,44.0,0,1.128409,0,0,0,0.0,0,0,0.0,0,0,,,,44.0,18-24,CS,,,,
[ALC] Corrida Final,120235177303150087,OUTCOME_AWARENESS,2025-11-01,65378,61009,1.071612,89,0.136131,1.068427,1.454465,95.09,71.0,0,1.339296,2.0,0,47.545,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,73.0,0,1.302603,2.0,0,0,73.0,0,1.302603,0,0,0,0.0,0,0,0.0,0,0,,,,71.0,25-34,CS,,,,
[ALC] Corrida Final,120235177303150087,OUTCOME_AWARENESS,2025-11-01,21908,19871,1.102511,20,0.091291,1.5875,1.449242,31.75,15.0,0,2.116667,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,17.0,0,1.867647,2.0,0,0,17.0,0,1.867647,0,0,0,0.0,0,0,0.0,0,0,,,,15.0,35-44,CS,,,,
